GEO_ID,incident_zip,NAME,population,median_household_income,households,broadband_households,broadband_household_percent
860Z200US00739,00739,ZCTA5 00739,34578,29463,13007,11765,90.45129545629277
860Z200US00740,00740,ZCTA5 00740,1583,26027,615,577,93.82113821138212
860Z200US00741,00741,ZCTA5 00741,3716,26585,1476,1162,78.72628726287263
860Z200US00745,00745,ZCTA5 00745,46739,29268,17400,14610,83.9655172413793
860Z200US00751,00751,ZCTA5 00751,19343,21952,8406,6589,78.3844872709969
860Z200US00754,00754,ZCTA5 00754,36728,22964,14006,11504,82.1362273311438
860Z200US00757,00757,ZCTA5 00757,19853,25938,7516,6247,83.11601915912719
860Z200US00765,00765,ZCTA5 00765,8078,19803,3125,2476,79.232
860Z200US00766,00766,ZCTA5 00766,21572,26234,7467,6272,83.99625016740325
860Z200US00767,00767,ZCTA5 00767,29962,23054,12366,9846,79.62154294032024
860Z200US00769,00769,ZCTA5 00769,33602,21829,13645,10869,79.6555514840601
860Z200US00771,00771,ZCTA5 00771,35094,24891,13016,11615,89.23632452366319
860Z200US00772,00772,ZCTA5 00772,16829,18945,6739,5796,86.00682593856655
860Z200US00773,00773,ZCTA5 00773,17532,24225,6966,5829,83.67786391042205
860Z200US00775,00775,ZCTA5 00775,1387,29630,524,437,83.3969465648855
860Z200US00777,00777,ZCTA5 00777,37446,29928,14720,13033,88.53940217391305
860Z200US00778,00778,ZCTA5 00778,40203,42178,15836,13904,87.79994948219247
860Z200US00780,00780,ZCTA5 00780,13446,27967,4789,4259,88.9329713927751
860Z200US00782,00782,ZCTA5 00782,18128,16896,5879,4323,73.53291376084368
860Z200US00783,00783,ZCTA5 00783,34259,23914,11438,9398,82.16471411085854
860Z200US00784,00784,ZCTA5 00784,34981,20558,15603,12888,82.59950009613536
860Z200US00786,00786,ZCTA5 00786,165,-666666666,79,51,64.55696202531645
860Z200US00791,00791,ZCTA5 00791,45455,27034,18577,15939,85.79964472196802
860Z200US00794,00794,ZCTA5 00794,28668,23899,9874,8218,83.22868138545675
860Z200US00795,00795,ZCTA5 00795,43367,24602,15582,14210,91.19496855345912
860Z200US00901,00901,ZCTA5 00901,6398,27557,3111,2404,77.27418836387014
860Z200US00906,00906,ZCTA5 00906,49,-666666666,41,41,100.0
860Z200US00907,00907,ZCTA5 00907,15817,41615,8730,7550,86.48339060710195
860Z200US00909,00909,ZCTA5 00909,5633,23101,2947,2103,71.36070580251102
860Z200US00911,00911,ZCTA5 00911,7297,42382,3990,3423,85.78947368421052
860Z200US00912,00912,ZCTA5 00912,5845,31636,2872,2058,71.65738161559888
860Z200US00913,00913,ZCTA5 00913,6943,7049,3329,1961,58.90657855211775
860Z200US00915,00915,ZCTA5 00915,24607,16590,11125,6546,58.84044943820225
860Z200US00917,00917,ZCTA5 00917,17116,19357,8252,5203,63.05138148327678
860Z200US00918,00918,ZCTA5 00918,16172,39287,8255,6230,75.4694124772865
860Z200US00920,00920,ZCTA5 00920,15900,30259,7184,5484,76.33630289532294
860Z200US00921,00921,ZCTA5 00921,33119,23598,14422,10396,72.08431562890028
860Z200US00923,00923,ZCTA5 00923,24551,20349,11026,7359,66.74224560130601
860Z200US00924,00924,ZCTA5 00924,49922,25724,21364,16900,79.10503651001684
860Z200US00925,00925,ZCTA5 00925,4882,17404,2608,1470,56.36503067484663
860Z200US00926,00926,ZCTA5 00926,92284,40606,39310,31096,79.10455354871534
860Z200US00927,00927,ZCTA5 00927,13868,38728,6569,5451,82.98066676815344
860Z200US00934,00934,ZCTA5 00934,38,-666666666,12,0,0.0
860Z200US00949,00949,ZCTA5 00949,65867,34563,26989,24066,89.16966171403165
860Z200US00950,00950,ZCTA5 00950,0,-666666666,0,0,
860Z200US00951,00951,ZCTA5 00951,389,22669,193,162,83.93782383419689
860Z200US00952,00952,ZCTA5 00952,8165,22288,3417,3012,88.14749780509219
860Z200US00953,00953,ZCTA5 00953,66156,36099,24005,19433,80.9539679233493
860Z200US00956,00956,ZCTA5 00956,66734,29280,26979,22251,82.47525853441566
860Z200US00957,00957,ZCTA5 00957,40194,29913,16545,13646,82.47809005741917
860Z200US00959,00959,ZCTA5 00959,46260,31572,19761,17017,86.1140630534892
860Z200US00960,00960,ZCTA5 00960,3025,-666666666,0,0,
860Z200US00961,00961,ZCTA5 00961,28888,39393,11855,10571,89.16912695065373
860Z200US00962,00962,ZCTA5 00962,18947,21288,7975,5768,72.32601880877742
860Z200US00965,00965,ZCTA5 00965,5848,19136,2138,1598,74.74275023386342
860Z200US00966,00966,ZCTA5 00966,18791,60203,7582,6683,88.14297019256134
860Z200US00968,00968,ZCTA5 00968,3633,58869,2005,1726,86.08478802992519
860Z200US00969,00969,ZCTA5 00969,42231,61101,17031,15131,88.8438729375844
860Z200US00971,00971,ZCTA5 00971,24367,29526,10071,8141,80.83606394598351
860Z200US00976,00976,ZCTA5 00976,60620,39901,24648,21873,88.7414800389484
860Z200US00979,00979,ZCTA5 00979,14776,40049,8002,6904,86.2784303924019
860Z200US00982,00982,ZCTA5 00982,14050,28906,6150,5442,88.48780487804878
860Z200US00983,00983,ZCTA5 00983,31472,35638,13587,12481,91.85986604842864
860Z200US00985,00985,ZCTA5 00985,30497,33863,12877,11511,89.39193911625378
860Z200US00987,00987,ZCTA5 00987,55747,43159,22170,20151,90.89309878213803
860Z200US01001,01001,ZCTA5 01001,16234,75342,6920,6387,92.29768786127167
860Z200US01002,01002,ZCTA5 01002,26370,70818,10320,9637,93.38178294573643
860Z200US01003,01003,ZCTA5 01003,13510,-666666666,44,39,88.63636363636364
860Z200US01005,01005,ZCTA5 01005,5204,111148,1863,1731,92.914653784219
860Z200US01007,01007,ZCTA5 01007,15419,108125,6140,5837,95.06514657980456
860Z200US01008,01008,ZCTA5 01008,1327,97554,579,523,90.32815198618307
860Z200US01009,01009,ZCTA5 01009,804,72841,364,352,96.7032967032967
860Z200US01010,01010,ZCTA5 01010,3705,111250,1410,1343,95.2482269503546
860Z200US01011,01011,ZCTA5 01011,1175,89299,461,402,87.20173535791757
860Z200US01012,01012,ZCTA5 01012,397,83333,146,133,91.0958904109589
860Z200US01013,01013,ZCTA5 01013,23284,59759,9734,8430,86.6036572837477
860Z200US01020,01020,ZCTA5 01020,30167,66009,13767,12412,90.15762330209922
860Z200US01022,01022,ZCTA5 01022,1844,51373,923,736,79.73997833152762
860Z200US01026,01026,ZCTA5 01026,1014,92250,461,419,90.88937093275487
860Z200US01027,01027,ZCTA5 01027,17716,74146,8284,7516,90.7291163689039
860Z200US01028,01028,ZCTA5 01028,16321,106424,5923,5374,90.73104845517474
860Z200US01029,01029,ZCTA5 01029,539,107679,247,228,92.3076923076923
860Z200US01030,01030,ZCTA5 01030,12305,93815,5059,4699,92.88396916386638
860Z200US01031,01031,ZCTA5 01031,1676,60517,664,625,94.12650602409639
860Z200US01032,01032,ZCTA5 01032,509,97500,240,221,92.08333333333333
860Z200US01033,01033,ZCTA5 01033,6080,119297,2321,2261,97.414907367514
860Z200US01034,01034,ZCTA5 01034,2332,91016,971,835,85.99382080329558
860Z200US01035,01035,ZCTA5 01035,5306,119259,2282,2176,95.35495179666958
860Z200US01036,01036,ZCTA5 01036,4946,104536,1945,1852,95.21850899742931
860Z200US01037,01037,ZCTA5 01037,572,74722,290,262,90.3448275862069
860Z200US01038,01038,ZCTA5 01038,2491,106635,1079,1033,95.73679332715477
860Z200US01039,01039,ZCTA5 01039,1506,116429,648,628,96.91358024691358
860Z200US01040,01040,ZCTA5 01040,37813,53605,15618,13488,86.3618901267768
860Z200US01050,01050,ZCTA5 01050,2529,95882,964,929,96.36929460580913
860Z200US01053,01053,ZCTA5 01053,2304,92582,880,830,94.31818181818183
860Z200US01054,01054,ZCTA5 01054,1608,104688,712,667,93.67977528089888
860Z200US01056,01056,ZCTA5 01056,20904,84838,8504,7913,93.05032925682032
860Z200US01057,01057,ZCTA5 01057,8176,98508,3265,3060,93.72128637059724
860Z200US01060,01060,ZCTA5 01060,16492,76848,7972,7373,92.4862017059709
860Z200US01062,01062,ZCTA5 01062,9816,87588,4518,4149,91.83266932270917
860Z200US01063,01063,ZCTA5 01063,2272,91344,59,59,100.0
860Z200US01066,01066,ZCTA5 01066,115,-666666666,38,38,100.0
860Z200US01068,01068,ZCTA5 01068,1639,102000,628,582,92.67515923566879
860Z200US01069,01069,ZCTA5 01069,8821,80190,3963,3565,89.95710320464295
860Z200US01070,01070,ZCTA5 01070,575,60536,227,217,95.59471365638767
860Z200US01071,01071,ZCTA5 01071,1054,111042,502,470,93.62549800796812
860Z200US01072,01072,ZCTA5 01072,1521,111667,612,600,98.0392156862745
860Z200US01073,01073,ZCTA5 01073,6230,123125,2289,2222,97.07295762341633
