agency_capacity,verification_response,quality_gap,scenario,application_volume,verification,low_eligible_take_up,high_eligible_take_up,access_gap,low_resource_burden,false_application_share
0.25,0.0,0.0,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.25,0.0,0.0,General-purpose agents,0.5891480669776988,0.16,0.8857858477615675,0.959612142432748,0.0738262946711804,0.42060000000000003,0.1417458220128603
0.25,0.0,0.0,Unequal private agents,0.5622293474780802,0.16,0.7903771047819268,0.9727745459832369,0.18239744120131007,0.5198,0.1457102513683473
0.25,0.0,0.0,Audited public agent,0.5896602412712086,0.16,0.9366894609544533,0.9740855902554574,0.03739612930100411,0.34619999999999995,0.11045683745031652
0.25,0.0,0.1,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.25,0.0,0.1,General-purpose agents,0.5828580710566538,0.16,0.8626172197044207,0.9643257495716505,0.10170852986722978,0.4516,0.1423870953729114
0.25,0.0,0.1,Unequal private agents,0.5554922734456621,0.16,0.7653431390240708,0.9748763252907717,0.20953318626670092,0.5404666666666667,0.14792330036573553
0.25,0.0,0.1,Audited public agent,0.5892760388405296,0.16,0.9349015201648921,0.9745182317069191,0.03961671154202695,0.35115999999999997,0.11060355515655064
0.25,0.0,0.2,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.25,0.0,0.2,General-purpose agents,0.5753171960958872,0.16,0.8356209417913082,0.9685072924569691,0.1328863506656609,0.48260000000000003,0.14340626528135564
0.25,0.0,0.2,Unequal private agents,0.5481257836356689,0.16,0.7383093829906724,0.9768197156130295,0.2385103326223571,0.5611333333333334,0.1503816136662503
0.25,0.0,0.2,Audited public agent,0.5888820630952025,0.16,0.9330666945685365,0.9749438359972962,0.041877141428759646,0.35611999999999994,0.11076257847366737
0.25,0.0,0.3,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.25,0.0,0.3,General-purpose agents,0.5664563634954114,0.16,0.8045219259098653,0.9722128208683466,0.16769089495848133,0.5136,0.14484183741724319
0.25,0.0,0.3,Unequal private agents,0.5401531049370312,0.16,0.7093439666090063,0.9786160763871752,0.26927210977816884,0.5818,0.1530971406101162
0.25,0.0,0.3,Audited public agent,0.5884780014771837,0.16,0.9311839603561893,0.9753625114314903,0.044178551075301,0.36107999999999996,0.11093394374740338
0.25,0.0,0.4,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.25,0.0,0.4,General-purpose agents,0.5562410802922504,0.16,0.7691645843058181,0.9754933778808983,0.20632879357508016,0.5446,0.14673198981887106
0.25,0.0,0.4,Unequal private agents,0.5316132607980054,0.16,0.6785682873478301,0.9802760387413375,0.30170775139350736,0.6024666666666667,0.15607918580467692
0.25,0.0,0.4,Audited public agent,0.588063537632671,0.16,0.929252283095794,0.9757743648520009,0.04652208175620687,0.36604,0.11111768934694508
0.25,0.0,0.5,No agent,0.45954583119927367,0.16,0.6589907736025761,0.9205029286765481,0.2615121550739721,0.6872,0.06903091007610035
0.25,0.0,0.5,General-purpose agents,0.5446861641365188,0.16,0.7295617065673097,0.9783952387635801,0.24883353219627047,0.5756000000000001,0.1491112641059749
0.25,0.0,0.5,Unequal private agents,0.5225618175819672,0.16,0.6461594701160713,0.9818095389714147,0.3356500688553433,0.6231333333333333,0.1593334778831828
0.25,0.0,0.5,Audited public agent,0.5876383516136299,0.16,0.9272706183495723,0.9761795016517476,0.048908883302175354,0.371,0.11131385573491245
0.25,0.15,0.0,No agent,0.42837332998071326,0.2670239816774617,0.5805143503895918,0.906310829981566,0.3257964795919742,0.7321500686157462,0.06452623315669243
0.25,0.15,0.0,General-purpose agents,0.5482403373569266,0.33894418563839357,0.8160924064098997,0.9462098385483596,0.13011743213845994,0.49575655417422215,0.121954097940331
0.25,0.15,0.0,Unequal private agents,0.5169931899589125,0.32019589907381296,0.6958025266143814,0.9646637724030873,0.26886124578870596,0.587082274240962,0.1297628096013371
0.25,0.15,0.0,Audited public agent,0.5685484041333202,0.294274187679544,0.9068160869345454,0.9677395003081661,0.06092341337362073,0.4025951555717068,0.09597899242914616
0.25,0.15,0.1,No agent,0.42837332998071326,0.2670239816774617,0.5805143503895918,0.906310829981566,0.3257964795919742,0.7321500686157462,0.06452623315669243
0.25,0.15,0.1,General-purpose agents,0.5405539071371352,0.33433233022966163,0.784702378500317,0.9527599844101664,0.16805760590984942,0.524819575518404,0.12386035250229525
0.25,0.15,0.1,Unequal private agents,0.5098161930783885,0.3158897026192187,0.6672612831256246,0.9675982743013168,0.30033699117569224,0.6059403387752175,0.13286796395452402
0.25,0.15,0.1,Audited public agent,0.568045811385763,0.2940228915107131,0.9043385678042147,0.9682876054072759,0.06394903760306114,0.40744961122714757,0.09624635653822541
0.25,0.15,0.2,No agent,0.42837332998071326,0.2670239816774617,0.5805143503895918,0.906310829981566,0.3257964795919742,0.7321500686157462,0.06452623315669243
0.25,0.15,0.2,General-purpose agents,0.5317606187541758,0.3290563595614533,0.7499872289965046,0.9585917572427296,0.208604528246225,0.553603668371834,0.12621564737491198
0.25,0.15,0.2,Unequal private agents,0.5022732578343964,0.3113639428559395,0.6375958326826112,0.9703072131524103,0.3327113804697991,0.6247061866541038,0.13621610084618194
0.25,0.15,0.2,Audited public agent,0.5675295869861492,0.29376477951884017,0.901804194034881,0.9688270440094773,0.06702284997459629,0.412301204237586,0.09652636449181731
0.25,0.15,0.3,No agent,0.42837332998071326,0.2670239816774617,0.5805143503895918,0.906310829981566,0.3257964795919742,0.7321500686157462,0.06452623315669243
0.25,0.15,0.3,General-purpose agents,0.5219266773210675,0.32315598988577,0.7121303791721548,0.9637676527765489,0.25163727360439403,0.582125512018931,0.12903278046823352
0.25,0.15,0.3,Unequal private agents,0.49441841425483024,0.30665103015825146,0.6069832148572916,0.9728043589206014,0.3658211440633098,0.6433934285064454,0.13980539169778133
0.25,0.15,0.3,Audited public agent,0.5669994881825433,0.2934997303277358,0.8992121215512882,0.9693579431390544,0.07014582158776628,0.4171498836249724,0.09681907493136853
0.25,0.15,0.4,No agent,0.42837332998071326,0.2670239816774617,0.5805143503895918,0.906310829981566,0.3257964795919742,0.7321500686157462,0.06452623315669243
0.25,0.15,0.4,General-purpose agents,0.5111543526810122,0.3166925976786909,0.6714430727398125,0.9683469658305643,0.2969038930907518,0.6104108878747461,0.13231754566244502
0.25,0.15,0.4,Unequal private agents,0.4863115806116194,0.3017869314511674,0.5756215540714165,0.9751030528829567,0.39948149881154027,0.6620171740505828,0.14363086127130234
0.25,0.15,0.4,Audited public agent,0.5664552749215563,0.29322762391047874,0.896561516559315,0.9698804280962732,0.07331891153695813,0.4219955989779487,0.09712454868976624
0.25,0.15,0.5,No agent,0.42837332998071326,0.2670239816774617,0.5805143503895918,0.906310829981566,0.3257964795919742,0.7321500686157462,0.06452623315669243
0.25,0.15,0.5,General-purpose agents,0.49958057011500834,0.30974833011322245,0.6283594449779174,0.9723858083268195,0.34402636334890213,0.6384942959437072,0.13606670996888334
0.25,0.15,0.5,Unequal private agents,0.47801737108551895,0.29681040686157106,0.543725905695251,0.9772162082520368,0.4334903025567858,0.6805937006442826,0.14768406251350363
0.25,0.15,0.5,Audited public agent,0.5658967102378631,0.2929483417841753,0.8938515568474428,0.9703946224686019,0.07654306562115909,0.4268383005336472,0.09744284879002348
0.25,0.3,0.0,No agent,0.4046347279560052,0.34556165895624286,0.5199513130578104,0.8944907963417453,0.37453948328393494,0.7651358934618195,0.061849943230643405
0.25,0.3,0.0,General-purpose agents,0.5129240364753312,0.4755088302922479,0.743456586949363,0.9332640993859609,0.18980751243659788,0.5531137056746087,0.11029125469099135
0.25,0.3,0.0,Unequal private agents,0.48135622525347016,0.4376274599086656,0.6132519327004465,0.9572864258510763,0.3440344931506297,0.6364035308106576,0.120615535718884
0.25,0.3,0.0,Audited public agent,0.5488843778715102,0.4088843648442182,0.8718907600210849,0.9611556705861004,0.08926491056501551,0.45073143028839946,0.08567966973486826
0.25,0.3,0.1,No agent,0.4046347279560052,0.34556165895624286,0.5199513130578104,0.8944907963417453,0.37453948328393494,0.7651358934618195,0.061849943230643405
0.25,0.3,0.1,General-purpose agents,0.5047812830314693,0.4657375294821581,0.7075053726926221,0.9417700308251776,0.23426465813255548,0.5800097600857772,0.11309286900368148
0.25,0.3,0.1,Unequal private agents,0.4745731498752094,0.42948776221404694,0.584530125198661,0.9610504832931879,0.3765203580945269,0.6536515228080709,0.12422003121713826
0.25,0.3,0.1,Audited public agent,0.5482604364164114,0.40826042381951655,0.8687518247563153,0.9618342087912519,0.09308238403493663,0.4554293751553607,0.08604731193091737
0.25,0.3,0.2,No agent,0.4046347279560052,0.34556165895624286,0.5199513130578104,0.8944907963417453,0.37453948328393494,0.7651358934618195,0.061849943230643405
0.25,0.3,0.2,General-purpose agents,0.49584007423307863,0.45500807425159145,0.6694226234474306,0.9493282680654713,0.2799056446180407,0.6065033878322359,0.1163302911159366
0.25,0.3,0.2,Unequal private agents,0.46761428240888053,0.4211371229604521,0.555384845749378,0.9645072756385997,0.40912242988922176,0.6708109213740462,0.12803717086225633
0.25,0.3,0.2,Audited public agent,0.5476213010900521,0.4076212889177274,0.8655533560184846,0.9625022778982811,0.09694892187979653,0.4601209385926274,0.08642783747769785
0.25,0.3,0.3,No agent,0.4046347279560052,0.34556165895624286,0.5199513130578104,0.8944907963417453,0.37453948328393494,0.7651358934618195,0.061849943230643405
0.25,0.3,0.3,General-purpose agents,0.48621879657434564,0.4434625440643223,0.6295756737247862,0.956009028470809,0.32643335474602286,0.6326542658327704,0.11999502641664413
0.25,0.3,0.3,Unequal private agents,0.46052761790941754,0.4126331267174439,0.52597276836124,0.9676756568141264,0.4417028884528864,0.6879059098801618,0.13205912269408393
0.25,0.3,0.3,Audited public agent,0.5469668739636077,0.4069668622095086,0.8622949627212892,0.9631600123499703,0.10086504962868104,0.4648060794697588,0.08682131280748813
0.25,0.3,0.4,No agent,0.4046347279560052,0.34556165895624286,0.5199513130578104,0.8944907963417453,0.37453948328393494,0.7651358934618195,0.061849943230643405
0.25,0.3,0.4,General-purpose agents,0.4760496544481275,0.4312595755102232,0.588379451900988,0.9618848873210943,0.3735054354201064,0.6585290194917601,0.12407234517590324
0.25,0.3,0.4,Unequal private agents,0.4533617799917713,0.40403412190024846,0.4964534503154222,0.9705743905904423,0.47412094027502005,0.7049609946782911,0.136275597053319
0.25,0.3,0.4,Audited public agent,0.54629706487585,0.40629705353314877,0.8589762808616829,0.9638075449810112,0.1048312641193283,0.46948475991872696,0.0872278059610693
0.25,0.3,0.5,No agent,0.4046347279560052,0.34556165895624286,0.5199513130578104,0.8944907963417453,0.37453948328393494,0.7651358934618195,0.061849943230643405
0.25,0.3,0.5,General-purpose agents,0.46547444225134754,0.41856931410148,0.5462830661951069,0.967029110633529,0.4207460444384221,0.6841991081684369,0.12854034357943306
0.25,0.3,0.5,Unequal private agents,0.4461654087818484,0.39539847670871564,0.46698729122297256,0.9732219742003011,0.5062346829773285,0.7220006904233986,0.14067367534440472
0.25,0.3,0.5,Audited public agent,0.5456117917065291,0.40561178076795035,0.8555969744690027,0.9644450070359881,0.10884803256698539,0.47415694544873754,0.08764738653697055
0.25,0.45,0.0,No agent,0.3863584799696034,0.40544525539249787,0.4732781892040715,0.8846123276981345,0.411334138494063,0.7902870053306031,0.060104650183102654
0.25,0.45,0.0,General-purpose agents,0.48325435845242465,0.5798578351315198,0.6766554144248155,0.9214808061986204,0.2448253917738049,0.5969402884749643,0.10323245243992198
0.25,0.45,0.0,Unequal private agents,0.45356856297779385,0.526423403469235,0.5458604922566556,0.9507531330189324,0.4048926407622768,0.6736978272202376,0.11491566281372972
0.25,0.45,0.0,Audited public agent,0.5304705482874568,0.5057058095041844,0.8342009622233048,0.9546058049795683,0.12040484275626351,0.4913964370682665,0.0783432907062222
0.25,0.45,0.1,No agent,0.3863584799696034,0.40544525539249787,0.4732781892040715,0.8846123276981345,0.411334138494063,0.7902870053306031,0.060104650183102654
0.25,0.45,0.1,General-purpose agents,0.4753610852777023,0.5656499370522096,0.6391258784339567,0.9318530114520022,0.2927271330180454,0.6219729698422276,0.10657176292611234
0.25,0.45,0.1,Unequal private agents,0.4474527562440114,0.5154149520430492,0.5183181390238814,0.95527227669883,0.4369541376749486,0.6897409444449978,0.11875945475942229
0.25,0.45,0.1,Audited public agent,0.5297517213839618,0.5046275698118574,0.8305178770863836,0.9554259620501436,0.12490808496376005,0.49590357654741,0.07879137728229847
0.25,0.45,0.2,No agent,0.3863584799696034,0.40544525539249787,0.4732781892040715,0.8846123276981345,0.411334138494063,0.7902870053306031,0.060104650183102654
0.25,0.45,0.2,General-purpose agents,0.46692742656038905,0.5504693547371893,0.600544802564318,0.9410336244364955,0.34048882187217755,0.646597126033447,0.11030746268512122
0.25,0.45,0.2,Unequal private agents,0.44126304649051495,0.5042734748179051,0.4907677427900288,0.9594031373553479,0.46863539456531905,0.7057281907519947,0.12278829996210427
0.25,0.45,0.2,Audited public agent,0.5290182590307717,0.5035273769190926,0.8267797749493184,0.9562335239288979,0.1294537489795795,0.5004014956765133,0.07925236009918692
0.25,0.45,0.3,No agent,0.3863584799696034,0.40544525539249787,0.4732781892040715,0.8846123276981345,0.411334138494063,0.7902870053306031,0.060104650183102654
0.25,0.45,0.3,General-purpose agents,0.45806858557503305,0.5345234430094796,0.5612623646025525,0.9491072160459678,0.3878448514434153,0.6708998435705041,0.11442188753672981
0.25,0.45,0.3,Unequal private agents,0.43503650867987875,0.49306570675756467,0.4633247402223373,0.9631711501499998,0.4998464099276625,0.721687594833048,0.12699232816878497
0.25,0.45,0.3,Audited public agent,0.5282702102777361,0.5024053044008325,0.822986743647355,0.9570286247009938,0.1340418810536388,0.5048902253570905,0.07972630329871953
0.25,0.45,0.4,No agent,0.3863584799696034,0.40544525539249787,0.4732781892040715,0.8846123276981345,0.411334138494063,0.7902870053306031,0.060104650183102654
0.25,0.45,0.4,General-purpose agents,0.44890128568521737,0.518022304279143,0.5216291003657658,0.9561660323410046,0.4345369319752388,0.6949693655460485,0.11889261446148275
0.25,0.45,0.4,Unequal private agents,0.4288094949053352,0.48185708163183105,0.4361027731381007,0.9666016545945001,0.5304988814563993,0.737646638871924,0.1313596130321581
0.25,0.45,0.4,Audited public agent,0.5275076325610759,0.5012614384116586,0.8191388994787323,0.9578113977838517,0.1386724983051194,0.509369801774122,0.08021327211145933
0.25,0.45,0.5,No agent,0.3863584799696034,0.40544525539249787,0.4732781892040715,0.8846123276981345,0.411334138494063,0.7902870053306031,0.060104650183102654
0.25,0.45,0.5,General-purpose agents,0.4395415286553599,0.5011747419112937,0.4819914984596326,0.9623058144813741,0.4803143160217415,0.718893389416208,0.12369166950719618
0.25,0.45,0.5,Unequal private agents,0.4226174046392578,0.4707113184643916,0.40921310793855986,0.9697195610904541,0.5605064531518942,0.7536320848525593,0.13587604617015847
0.25,0.45,0.5,Audited public agent,0.5267305937892626,0.5000958723952649,0.815236391931011,0.9585819766034392,0.1433455846724282,0.5138402622699674,0.08071333345810704
0.25,0.6,0.0,No agent,0.3719749850441602,0.45273994558881725,0.4367042523106478,0.8762509619603686,0.43954670964972076,0.8101507729595747,0.05887753139710102
0.25,0.6,0.0,General-purpose agents,0.45875201046720354,0.661004812118899,0.6189903566084279,0.9110328639402135,0.2920425073317856,0.6310220181493973,0.0987389405737767
0.25,0.6,0.0,Unequal private agents,0.4316874850793475,0.5960499567290982,0.4916818044201671,0.9449783919285787,0.45329658750841156,0.7029409801388113,0.11104872721140223
0.25,0.6,0.0,Audited public agent,0.5134454673887595,0.5868909234657995,0.7961495385543709,0.9483152027832003,0.15216566422882938,0.5254941852974468,0.0730784620954464
0.25,0.6,0.1,No agent,0.3719749850441602,0.45273994558881725,0.4367042523106478,0.8762509619603686,0.43954670964972076,0.8101507729595747,0.05887753139710102
0.25,0.6,0.1,General-purpose agents,0.45142857408284953,0.6434285675034592,0.5814924083520353,0.9230721915437415,0.34157978319170623,0.6546399960231132,0.10237013415730804
0.25,0.6,0.1,Unequal private agents,0.426252274986487,0.5830054523625682,0.4656598974313698,0.950161815119566,0.48450191768819617,0.7181289549390452,0.11498789532264282
0.25,0.6,0.1,Audited public agent,0.5126694678069457,0.5853389250446325,0.7920756464278487,0.9492813058932742,0.15720565946542553,0.5298023461284671,0.07358824695891408
0.25,0.6,0.2,No agent,0.3719749850441602,0.45273994558881725,0.4367042523106478,0.8762509619603686,0.43954670964972076,0.8101507729595747,0.05887753139710102
0.25,0.6,0.2,General-purpose agents,0.44373426452722226,0.6249622261313759,0.5437175480989517,0.9336936964825457,0.38997614838359407,0.6778841329999598,0.10635999910258222
0.25,0.6,0.2,Unequal private agents,0.4207939211115061,0.5699054025842558,0.4398662619706592,0.9548842591121449,0.5150179971414857,0.7332936005906381,0.11909149640256485
0.25,0.6,0.2,Audited public agent,0.5118805819738897,0.5837611540770641,0.7879554595638348,0.9502323457910645,0.1622768862272297,0.5340996824800666,0.07411075745574636
0.25,0.6,0.3,No agent,0.3719749850441602,0.45273994558881725,0.4367042523106478,0.8762509619603686,0.43954670964972076,0.8101507729595747,0.05887753139710102
0.25,0.6,0.3,General-purpose agents,0.43576696466763093,0.6058407072224075,0.5059439716873093,0.9429985274351159,0.4370545557478066,0.7008530952287244,0.1106879254590774
0.25,0.6,0.3,Unequal private agents,0.41534121055416584,0.5568188963829799,0.41438309310235577,0.9591775593516365,0.5447944662492807,0.7484639344574489,0.123348927300506
0.25,0.6,0.3,Audited public agent,0.5110789578318821,0.5821579064495233,0.7837893861415819,0.9511684578799061,0.16737907173832423,0.5383863186249637,0.07464605406818632
0.25,0.6,0.4,No agent,0.3719749850441602,0.45273994558881725,0.4367042523106478,0.8762509619603686,0.43954670964972076,0.8101507729595747,0.05887753139710102
0.25,0.6,0.4,General-purpose agents,0.4276221554578391,0.5862931648451439,0.46843337496586573,0.9510993338744371,0.4826659589085714,0.7236431273683612,0.11532917289252217
0.25,0.6,0.4,Unequal private agents,0.4099220361200374,0.5438128763987333,0.3892903543596252,0.9630732899847076,0.5737829356250824,0.7636680724271571,0.12774772444933508
0.25,0.6,0.4,Audited public agent,0.510264751550259,0.5805294855913071,0.7795778586723334,0.9520897793525415,0.17251192068020804,0.5426623799885736,0.07519419868578638
0.25,0.6,0.5,No agent,0.3719749850441602,0.45273994558881725,0.4367042523106478,0.8762509619603686,0.43954670964972076,0.8101507729595747,0.05887753139710102
0.25,0.6,0.5,General-purpose agents,0.4193919704765213,0.5665407198578052,0.4314329763852053,0.95811385843375,0.5266808820485447,0.7463471002402485,0.1202541214492462
0.25,0.6,0.5,Unequal private agents,0.4045633046457734,0.5309519188914021,0.3646657711784535,0.9666023220747907,0.6019365508963372,0.7789331364954257,0.13227347156557978
0.25,0.6,0.5,Audited public agent,0.5094381187041378,0.5788762210311558,0.7753213131438423,0.9529964462232494,0.17767513307940708,0.5469280091293368,0.07575525228332179
0.25,0.75,0.0,No agent,0.3603950788311116,0.4911852261080244,0.4074546219960496,0.8690754599194702,0.4616208379234206,0.8262977926166923,0.05796368618623279
0.25,0.75,0.0,General-purpose agents,0.4385548055664797,0.7256643983832174,0.5704107284543244,0.9018263227133937,0.3314155942590693,0.6581790431786674,0.09571211127789372
0.25,0.75,0.0,Unequal private agents,0.4141483235652028,0.6524449568512853,0.4478829259704899,0.9398394638015255,0.4919565378310356,0.7266268787465929,0.10823074071098468
0.25,0.75,0.0,Audited public agent,0.49795326301085596,0.6548831470197598,0.7595592437093805,0.9424211163532931,0.18286187264391252,0.5540509193720147,0.0692438695977916
0.25,0.75,0.1,No agent,0.3603950788311116,0.4911852261080244,0.4074546219960496,0.8690754599194702,0.4616208379234206,0.8262977926166923,0.05796368618623279
0.25,0.75,0.1,General-purpose agents,0.43188580543928223,0.7056574010772318,0.533636353578574,0.9153123491569186,0.38167599557834464,0.6807761050057137,0.09948651133087767
0.25,0.75,0.1,Unequal private agents,0.4093242080818782,0.6379726089065714,0.42334065555706224,0.9456025996548459,0.5222619440977837,0.7412151589384386,0.1121882375739239
0.25,0.75,0.1,Audited public agent,0.49715447769765425,0.652886184520897,0.7552358740111554,0.9435306703624979,0.1882947963513425,0.5581721952998289,0.06979932689007519
0.25,0.75,0.2,No agent,0.3603950788311116,0.4911852261080244,0.4074546219960496,0.8690754599194702,0.4616208379234206,0.8262977926166923,0.05796368618623279
0.25,0.75,0.2,General-purpose agents,0.42495111688753484,0.6848533373229534,0.4971144345268922,0.9271860308586238,0.43007159633173164,0.7030383986588271,0.10358904134016289
0.25,0.75,0.2,Unequal private agents,0.40450200882667753,0.6235060088563935,0.39916662394043495,0.9508420754226441,0.5516754514822091,0.7558058530673648,0.11629485580389927
0.25,0.75,0.2,Audited public agent,0.4963448659206925,0.6508621558055399,0.750876061454664,0.9446224782216022,0.19374641676693816,0.5622821034038035,0.07036725939353909
0.25,0.75,0.3,No agent,0.3603950788311116,0.4911852261080244,0.4074546219960496,0.8690754599194702,0.4616208379234206,0.8262977926166923,0.05796368618623279
0.25,0.75,0.3,General-purpose agents,0.4178317938113543,0.6634953672080934,0.4610526795047383,0.9375631105642249,0.4765104310594866,0.7250680510101415,0.10799851276815482
0.25,0.75,0.3,Unequal private agents,0.3997048653106992,0.6091145887888791,0.37541918391306467,0.955595228709435,0.5801760447963704,0.7704281256758629,0.12053969601288057
0.25,0.75,0.3,Audited public agent,0.4955246228132583,0.6488115487105204,0.7464803543588102,0.9456966845799167,0.19921633022110652,0.5663808485762247,0.07094772639357824
0.25,0.75,0.4,No agent,0.3603950788311116,0.4911852261080244,0.4074546219960496,0.8690754599194702,0.4616208379234206,0.8262977926166923,0.05796368618623279
0.25,0.75,0.4,General-purpose agents,0.41060587921035524,0.6418176209695723,0.4256379243039336,0.9465737360320055,0.5209358117280718,0.7469633970391595,0.1126897354712959
0.25,0.75,0.4,Unequal private agents,0.39495513443697766,0.5948653944278279,0.35215500796952687,0.9598989748433641,0.6077439668738371,0.785110130317406,0.1249101075888171
0.25,0.75,0.4,Audited public agent,0.4946939491937346,0.6467348553706996,0.7420493151630544,0.9467534379944522,0.20470412283139783,0.5704686352723021,0.07154078840844144
0.25,0.75,0.5,No agent,0.3603950788311116,0.4911852261080244,0.4074546219960496,0.8690754599194702,0.4616208379234206,0.8262977926166923,0.05796368618623279
0.25,0.75,0.5,General-purpose agents,0.403347967539679,0.6200438954970465,0.3910413777075399,0.9543543297747369,0.563312952067197,0.7688184344980941,0.11763285203380935
