portal,datasets,median_metadata_age_days,metadata_older_than_two_years,mean_column_description_coverage,datasets_with_no_column_descriptions,license_coverage,contact_coverage,frequency_coverage
Los Angeles,360,2092.0,0.8083333333333333,0.2857441432187438,0.6222222222222222,0.7361111111111112,0.0,0.9361111111111111
Dallas,342,865.0,0.7192982456140351,0.19184784599830454,0.7631578947368421,0.07602339181286549,0.4853801169590643,0.15204678362573099
Chicago,914,865.0,0.5929978118161926,0.22797002375687822,0.6105032822757112,0.5940919037199125,0.0,0.7155361050328227
New York City,2398,635.0,0.2956630525437865,0.4626043705408228,0.5,0.0079232693911593,0.0,1.0
Maryland,1564,76.0,0.09782608695652174,0.03532429954839185,0.9392583120204604,0.1956521739130435,0.0,0.9948849104859335
New York State,1029,129.0,0.06608357628765792,0.9428297979514533,0.027210884353741496,0.007774538386783284,0.9961127308066083,0.9970845481049563
